
// JSON 解析错误：JSON语法结构存在错误，无法解析，以下为您输出接口原文。
💥雨虹K歌💥,#genre#
缘分五月(五月),http://em.21dtv.com/songs/60063108.mkv
错过了缘分错过你,http://em.21dtv.com/songs/60075020.mkv
千年等一回(高胜美),http://em.21dtv.com/songs/60034119.mkv
久违的哥们(余天),http://em.21dtv.com/songs/60024379.mkv
天在下雨我在想你(祁隆),http://em.21dtv.com/songs/60131704.mkv
天在下雨我在想你(任妙音),http://em.21dtv.com/songs/60133355.mkv
军中绿花(龚玥),http://em.21dtv.com/songs/60024920.mkv
军中绿花(小曾),http://em.21dtv.com/songs/60024921.mkv
想着你亲爱的(祁隆),http://em.21dtv.com/songs/60084203.mkv
再也不能这样活（刘欢）,http://em.21dtv.com/songs/60057001.mkv
闯码头(大哲),http://em.21dtv.com/songs/60013202.mkv
为爱流下伤心泪(暴林),http://em.21dtv.com/songs/60129186.mkv
为爱流下伤心泪DJ(暴林),http://em.21dtv.com/songs/60176047.mkv
为爱流下伤心泪(乔玲儿),http://em.21dtv.com/songs/60155288.mkv
爱情这杯酒谁喝都得醉,http://em.21dtv.com/songs/60061002.mkv
我是一条小河,http://em.21dtv.com/songs/60078345.mkv
多和爹娘说说话,http://em.21dtv.com/songs/100000040.mkv
妈妈的吻(卓依婷),http://em.21dtv.com/songs/60028239.mkv
梅花泪,http://em.21dtv.com/songs/60083353.mkv
梅花泪(男女对唱),http://em.21dtv.com/songs/60096308.mkv
梅花泪(文希),http://em.21dtv.com/songs/60101357.mkv
爱情醉醉醉(郭力),http://em.21dtv.com/songs/60181023.mkv
拉手手亲口口,http://em.21dtv.com/songs/60143969.mkv
拉手手亲口口(男女对唱),http://em.21dtv.com/songs/62058913.mkv
我的好兄弟,http://em.21dtv.com/songs/60196629.mkv
我的好兄弟1,http://em.21dtv.com/songs/62057173.mkv
山谷里的思念(谢军),http://em.21dtv.com/songs/60123175.mkv

辜负你的情,https://git.acwing.com/lsc123/l/-/raw/main/辜负你的情.mkv
相思难剪,https://git.acwing.com/lsc123/l/-/raw/main/相思难剪.mkv
焚情,https://git.acwing.com/lsc123/l/-/raw/main/焚情.mkv
铁血丹心-缺女声,https://git.acwing.com/lsc123/l/-/raw/main/罗文_甄妮-铁血丹心_缺女声__粤语_合唱歌曲.mkv
人生路,http://chuangshicdn.data.mvbox.cn/music/sp/20/02/12/20021216174407655734.mp4
谢谢你 就这么陪我走,http://chuangshicdn.data.mvbox.cn/music/sp/24/05/21/24052120162555085156.mp4
夜色-DJ终极版,http://chuangshicdn.data.mvbox.cn/music/sp/24/01/02/24010216221881947905.mp4
落雨的秋,http://chuangshicdn.data.mvbox.cn/music/sp/23/09/15/23091515492172659172.mp4
求佛渡我忘了他,http://chuangshicdn.data.mvbox.cn/music/sp/23/08/22/23082222152346232388.mp4
情毒,http://chuangshicdn.data.mvbox.cn/music/sp/23/07/07/23070720491425401467.mp4
你是我拒绝别人的理由,http://chuangshicdn.data.mvbox.cn/music/sp/23/07/07/23070716341036023705.mp4
终身美丽,http://chuangshicdn.data.mvbox.cn/music/sp/23/03/04/23030409043249349057.mp4
你永远不懂我,http://chuangshicdn.data.mvbox.cn/music/sp/22/01/18/22011820070102607634.mp4
铁心丹心,http://chuangshicdn.data.mvbox.cn/music/sp/21/12/05/21120516070562553374.mp4
片片相思赋于谁,http://chuangshicdn.data.mvbox.cn/music/sp/21/11/16/21111611192639114456.mp4
红唇,http://chuangshicdn.data.mvbox.cn/music/sp/20/12/15/20121516591809892840.mp4
一亿个伤心,http://chuangshicdn.data.mvbox.cn/music/sp/20/11/16/20111617451196133815.mp4
你是我拒绝别人的理由-DJ版,http://chuangshicdn.data.mvbox.cn/music/sp/20/02/13/20021315200721946230.mp4
恋人心,http://chuangshicdn.data.mvbox.cn/music/sp/19/11/18/19111815212580797938.mp4


﻿阿杜,#genre#
阿爸的勒勒车,http://em.21dtv.com/songs/60163603.mkv
爱才是王牌,http://em.21dtv.com/songs/60088266.mkv
爱的沙,http://em.21dtv.com/songs/60065773.mkv
爱恨是你,http://em.21dtv.com/songs/60007605.mkv
阿妈的高原,http://em.21dtv.com/songs/60143469.mkv
爱你比我重要,http://em.21dtv.com/songs/60007815.mkv
andy,http://em.21dtv.com/songs/60000253.mkv
Andy,http://em.21dtv.com/songs/60128506.mkv
ANDY,http://em.21dtv.com/songs/60148504.mkv
爱情的牢,http://em.21dtv.com/songs/60113045.mkv
安全感,http://em.21dtv.com/songs/60009331.mkv
爱情心锁,http://em.21dtv.com/songs/60074460.mkv
爱上你 失去你,http://em.21dtv.com/songs/60071740.mkv
爱上谁,http://em.21dtv.com/songs/60008708.mkv
爱已降温,http://em.21dtv.com/songs/60074526.mkv
爱字怎么写,http://em.21dtv.com/songs/60009281.mkv
爱字怎么写(演唱会),http://em.21dtv.com/songs/60009280.mkv
Baby爱,http://em.21dtv.com/songs/60117906.mkv
不该相信你的承诺,http://em.21dtv.com/songs/60070542.mkv
把酒倒在你的酒窝里,http://em.21dtv.com/songs/60009558.mkv
black box,http://em.21dtv.com/songs/60000593.mkv
不离开,http://em.21dtv.com/songs/60168426.mkv
背叛爱情背叛我,http://em.21dtv.com/songs/60010252.mkv
不让你走,http://em.21dtv.com/songs/60011312.mkv
被忘路,http://em.21dtv.com/songs/60165787.mkv
背影,http://em.21dtv.com/songs/60010263.mkv
猜,http://em.21dtv.com/songs/60011861.mkv
初次和你相遇,http://em.21dtv.com/songs/60091678.mkv
初次与你相遇,http://em.21dtv.com/songs/60012988.mkv
唱的是寂寞,http://em.21dtv.com/songs/60088265.mkv
惩罚,http://em.21dtv.com/songs/60012651.mkv
chic night,http://em.21dtv.com/songs/60000915.mkv
唱起情歌想起了你,http://em.21dtv.com/songs/60082709.mkv
唱起情歌想起你,http://em.21dtv.com/songs/60074900.mkv
差一点,http://em.21dtv.com/songs/60012246.mkv
草原的祝福,http://em.21dtv.com/songs/60121720.mkv
彩云追月,http://em.21dtv.com/songs/60011969.mkv
斗爱,http://em.21dtv.com/songs/60015731.mkv
带刺的爱,http://em.21dtv.com/songs/60066945.mkv
第九次初恋,http://em.21dtv.com/songs/60075182.mkv
大龄青年的爱情,http://em.21dtv.com/songs/60075067.mkv
等你回家,http://em.21dtv.com/songs/60143468.mkv
DON'T LET ME,http://em.21dtv.com/songs/60096854.mkv
Don't You Let Me,http://em.21dtv.com/songs/60100297.mkv
电台情歌+水晶+爱情+如果·爱+我愿意,http://em.21dtv.com/songs/60080074.mkv
恩赐,http://em.21dtv.com/songs/60016293.mkv
疯的沙,http://em.21dtv.com/songs/60065971.mkv
fighting girl,http://em.21dtv.com/songs/60071596.mkv
放手,http://em.21dtv.com/songs/60016697.mkv
肥死(无原唱),http://em.21dtv.com/songs/60016961.mkv
分手的理由,http://em.21dtv.com/songs/60017055.mkv
非我意,http://em.21dtv.com/songs/60016944.mkv
风烛残年,http://em.21dtv.com/songs/60168749.mkv
挂失,http://em.21dtv.com/songs/60075585.mkv
故土的太阳,http://em.21dtv.com/songs/60019048.mkv
惠安之春,http://em.21dtv.com/songs/60022303.mkv
蝴蝶姑娘,http://em.21dtv.com/songs/60062209.mkv
黄河的哥哟黄河的妹,http://em.21dtv.com/songs/60110234.mkv
黑盒子,http://em.21dtv.com/songs/60020516.mkv
回家,http://em.21dtv.com/songs/60143467.mkv
和寂寞说分手,http://em.21dtv.com/songs/60020409.mkv
哈罗,http://em.21dtv.com/songs/60019556.mkv
还你自由,http://em.21dtv.com/songs/60019593.mkv
honey,http://em.21dtv.com/songs/60002325.mkv
坏朋友,http://em.21dtv.com/songs/60163429.mkv
话说从头,http://em.21dtv.com/songs/60080075.mkv
红色警戒(演唱会),http://em.21dtv.com/songs/60020953.mkv
幻想,http://em.21dtv.com/songs/60021818.mkv
回忆,http://em.21dtv.com/songs/60133024.mkv
黑夜以后,http://em.21dtv.com/songs/60020597.mkv
i do,http://em.21dtv.com/songs/60002480.mkv
坚持到底,http://em.21dtv.com/songs/60023188.mkv
嫁给我最浪漫的你,http://em.21dtv.com/songs/60076028.mkv
绝招,http://em.21dtv.com/songs/60024875.mkv
恋爱街,http://em.21dtv.com/songs/60027016.mkv
离别,http://em.21dtv.com/songs/60026635.mkv
乱弹情歌,http://em.21dtv.com/songs/60100827.mkv
烂好人,http://em.21dtv.com/songs/60136989.mkv
离开我的自由,http://em.21dtv.com/songs/60076392.mkv
流浪的情人,http://em.21dtv.com/songs/60079864.mkv
烂苹果,http://em.21dtv.com/songs/60168397.mkv
冷情失意,http://em.21dtv.com/songs/60136979.mkv
梅,http://em.21dtv.com/songs/60104521.mkv
蒙古感情,http://em.21dtv.com/songs/60114565.mkv
漫漫慢慢,http://em.21dtv.com/songs/60028566.mkv
默默追忆,http://em.21dtv.com/songs/60030473.mkv
梦你,http://em.21dtv.com/songs/60114564.mkv
mr honey,http://em.21dtv.com/songs/60003917.mkv
没什么好怕,http://em.21dtv.com/songs/60028751.mkv
明天我要嫁给你,http://em.21dtv.com/songs/60097866.mkv
名媛,http://em.21dtv.com/songs/60096700.mkv
没有你的圣诞节(演唱会),http://em.21dtv.com/songs/60028823.mkv
Never Let You Go,http://em.21dtv.com/songs/60158319.mkv
南海姑娘,http://em.21dtv.com/songs/60031108.mkv
你很好(演唱会),http://em.21dtv.com/songs/60031788.mkv
你就像个小孩,http://em.21dtv.com/songs/60031841.mkv
能卡,http://em.21dtv.com/songs/60165658.mkv
那么那么爱,http://em.21dtv.com/songs/60030733.mkv
南泥湾(演唱会),http://em.21dtv.com/songs/60031124.mkv
男人不是神,http://em.21dtv.com/songs/60076820.mkv
你若离开(无原唱),http://em.21dtv.com/songs/60095960.mkv
你说谎,http://em.21dtv.com/songs/60032259.mkv
那时那刻,http://em.21dtv.com/songs/60030765.mkv
你是我上辈子苦苦修来的福,http://em.21dtv.com/songs/60032153.mkv
你终会感觉到,http://em.21dtv.com/songs/60032562.mkv
女战神,http://em.21dtv.com/songs/60077039.mkv
噢爱人,http://em.21dtv.com/songs/60079865.mkv
噢 爱人,http://em.21dtv.com/songs/60102088.mkv
请到乌兰察布来,http://em.21dtv.com/songs/60118609.mkv
情歌草原,http://em.21dtv.com/songs/60165837.mkv
千面,http://em.21dtv.com/songs/60034112.mkv
求你饶了我,http://em.21dtv.com/songs/60118994.mkv
情人的情人,http://em.21dtv.com/songs/60079866.mkv
情书,http://em.21dtv.com/songs/60035346.mkv
ready for love,http://em.21dtv.com/songs/60004614.mkv
人狼,http://em.21dtv.com/songs/60036352.mkv
让你宠(演唱会),http://em.21dtv.com/songs/60036071.mkv
认真,http://em.21dtv.com/songs/60036545.mkv
SAY MY NAME,http://em.21dtv.com/songs/60096879.mkv
傻瓜,http://em.21dtv.com/songs/60079861.mkv
世间没有一无所有的人,http://em.21dtv.com/songs/60067432.mkv
死里复活,http://em.21dtv.com/songs/60153110.mkv
思念像火烧,http://em.21dtv.com/songs/60068686.mkv
Standing Here,http://em.21dtv.com/songs/60080894.mkv
身体健康,http://em.21dtv.com/songs/60138185.mkv
私物招领,http://em.21dtv.com/songs/60168425.mkv
死心彻底(演唱会),http://em.21dtv.com/songs/60040630.mkv
撕夜,http://em.21dtv.com/songs/60037150.mkv
痛彻心非,http://em.21dtv.com/songs/60164470.mkv
天黑,http://em.21dtv.com/songs/60041844.mkv
叹金莲,http://em.21dtv.com/songs/60041468.mkv
听见牛在哭,http://em.21dtv.com/songs/60042549.mkv
today,http://em.21dtv.com/songs/60005842.mkv
抬起头,http://em.21dtv.com/songs/60041287.mkv
退让,http://em.21dtv.com/songs/60042985.mkv
天上草原,http://em.21dtv.com/songs/60069874.mkv
天上的卓玛,http://em.21dtv.com/songs/60101190.mkv
天天看到你,http://em.21dtv.com/songs/60042142.mkv
听雪,http://em.21dtv.com/songs/60042603.mkv
天蝎蝴蝶,http://em.21dtv.com/songs/60042216.mkv
T恤好汉,http://em.21dtv.com/songs/60165810.mkv
推销员之死,http://em.21dtv.com/songs/60080079.mkv
他一定很爱你,http://em.21dtv.com/songs/60041118.mkv
天涯海角,http://em.21dtv.com/songs/60042253.mkv
valentines day,http://em.21dtv.com/songs/60074090.mkv
为爱投降,http://em.21dtv.com/songs/60145730.mkv
我不该躲,http://em.21dtv.com/songs/60164864.mkv
无法阻挡,http://em.21dtv.com/songs/60047115.mkv
玩火的女人,http://em.21dtv.com/songs/60072477.mkv
完美英雄,http://em.21dtv.com/songs/60043141.mkv
为你等候,http://em.21dtv.com/songs/60138179.mkv
无能为力,http://em.21dtv.com/songs/60047284.mkv
为青春喝彩,http://em.21dtv.com/songs/60095232.mkv
我是东郭你是狼,http://em.21dtv.com/songs/60046097.mkv
维他命,http://em.21dtv.com/songs/60044198.mkv
我要你,http://em.21dtv.com/songs/60046542.mkv
完整的碎片,http://em.21dtv.com/songs/60165834.mkv
我在你的爱情之外,http://em.21dtv.com/songs/60046786.mkv
相爱的歌,http://em.21dtv.com/songs/60048592.mkv
下次如果离开你,http://em.21dtv.com/songs/60048267.mkv
兄弟,http://em.21dtv.com/songs/60067678.mkv
新家,http://em.21dtv.com/songs/60050846.mkv
笑看输赢,http://em.21dtv.com/songs/60109506.mkv
想念自己,http://em.21dtv.com/songs/60101546.mkv
相容,http://em.21dtv.com/songs/60048704.mkv
心碎了落花,http://em.21dtv.com/songs/60050552.mkv
小薇,http://em.21dtv.com/songs/60049783.mkv
下雪,http://em.21dtv.com/songs/60048300.mkv
心心锁,http://em.21dtv.com/songs/60094989.mkv
下雨的时候会想你,http://em.21dtv.com/songs/60048340.mkv
心一直痛,http://em.21dtv.com/songs/60165659.mkv
夜,http://em.21dtv.com/songs/60165811.mkv
一辈子的伤,http://em.21dtv.com/songs/60068908.mkv
一二三四五六七,http://em.21dtv.com/songs/60052916.mkv
勇敢的台湾人(无原唱),http://em.21dtv.com/songs/60095521.mkv
一个人住,http://em.21dtv.com/songs/60053096.mkv
烟花,http://em.21dtv.com/songs/60051943.mkv
一路北风吹,http://em.21dtv.com/songs/60053273.mkv
有你才完整,http://em.21dtv.com/songs/60055207.mkv
雁南飞,http://em.21dtv.com/songs/60065306.mkv
一诺千年,http://em.21dtv.com/songs/60136988.mkv
you lie,http://em.21dtv.com/songs/60006552.mkv
依然爱你,http://em.21dtv.com/songs/60068925.mkv
一人一花,http://em.21dtv.com/songs/60065342.mkv
一首情歌,http://em.21dtv.com/songs/60053685.mkv
一生一次,http://em.21dtv.com/songs/60067708.mkv
一天天一点点,http://em.21dtv.com/songs/60053714.mkv
雨衣,http://em.21dtv.com/songs/60055737.mkv
烟雨凤凰,http://em.21dtv.com/songs/60070113.mkv
胭脂路,http://em.21dtv.com/songs/60051930.mkv
准备接受爱,http://em.21dtv.com/songs/60059572.mkv
再唱一首,http://em.21dtv.com/songs/60068967.mkv
再见卡门(演唱会),http://em.21dtv.com/songs/60056862.mkv
抓紧你的手,http://em.21dtv.com/songs/60059408.mkv
祝你健康,http://em.21dtv.com/songs/60121719.mkv
祝你快乐,http://em.21dtv.com/songs/60059368.mkv
紫色的雪,http://em.21dtv.com/songs/60088267.mkv
走向前,http://em.21dtv.com/songs/60059963.mkv
站在这里,http://em.21dtv.com/songs/60080078.mkv
自作自受,http://em.21dtv.com/songs/60165835.mkv

阿郎,#genre#
About you,http://em.21dtv.com/songs/60169201.mkv
爱的太蠢,http://em.21dtv.com/songs/60131756.mkv
爱恨情愁,http://em.21dtv.com/songs/60007602.mkv
爱就是节拍,http://em.21dtv.com/songs/60114180.mkv
爱看得见,http://em.21dtv.com/songs/60084812.mkv
爱未走远,http://em.21dtv.com/songs/60100538.mkv
爱有你才存在,http://em.21dtv.com/songs/60009107.mkv
baby baby,http://em.21dtv.com/songs/60065619.mkv
彼岸花,http://em.21dtv.com/songs/60010396.mkv
不要让想你的人悲伤,http://em.21dtv.com/songs/60128494.mkv
赤壁大江东去,http://em.21dtv.com/songs/60088829.mkv
春风吹,http://em.21dtv.com/songs/60163169.mkv
唱给天空听,http://em.21dtv.com/songs/60122211.mkv
痴情关,http://em.21dtv.com/songs/60074945.mkv
赤子的心,http://em.21dtv.com/songs/60145734.mkv
丢了心,http://em.21dtv.com/songs/60114178.mkv
等千年,http://em.21dtv.com/songs/60015023.mkv
单身歌,http://em.21dtv.com/songs/60014367.mkv
抖音神曲,http://em.21dtv.com/songs/60167398.mkv
带着爱回家,http://em.21dtv.com/songs/60118997.mkv
凤凰,http://em.21dtv.com/songs/60067009.mkv
告天地,http://em.21dtv.com/songs/60064228.mkv
贵州有个心上人,http://em.21dtv.com/songs/60157927.mkv
槐花殇,http://em.21dtv.com/songs/60062195.mkv
回家,http://em.21dtv.com/songs/60162975.mkv
后来你好吗,http://em.21dtv.com/songs/60085198.mkv
红书包,http://em.21dtv.com/songs/60020967.mkv
灰色的舞台,http://em.21dtv.com/songs/60114190.mkv
回望,http://em.21dtv.com/songs/60093731.mkv
回望(演唱会),http://em.21dtv.com/songs/60094729.mkv
狠心的女人,http://em.21dtv.com/songs/60114191.mkv
弧月,http://em.21dtv.com/songs/60164385.mkv
金杯银杯,http://em.21dtv.com/songs/60105454.mkv
酒逢知己千杯少,http://em.21dtv.com/songs/60121056.mkv
金钱美媚与爱情,http://em.21dtv.com/songs/60097867.mkv
吉祥三聚,http://em.21dtv.com/songs/60154533.mkv
就在这样一个年代,http://em.21dtv.com/songs/60169202.mkv
哭,http://em.21dtv.com/songs/60066101.mkv
lan lan,http://em.21dtv.com/songs/60066669.mkv
乐此不疲,http://em.21dtv.com/songs/60148708.mkv
律动的心跳,http://em.21dtv.com/songs/60064499.mkv
老地方,http://em.21dtv.com/songs/60079862.mkv
龙女,http://em.21dtv.com/songs/60144650.mkv
love+song,http://em.21dtv.com/songs/60069106.mkv
love song,http://em.21dtv.com/songs/60066679.mkv
蓝色的忧郁轨,http://em.21dtv.com/songs/60122212.mkv
龙盛力量,http://em.21dtv.com/songs/60064491.mkv
蓝色眼睛,http://em.21dtv.com/songs/60165400.mkv
落叶归根,http://em.21dtv.com/songs/60126344.mkv
蓦兰,http://em.21dtv.com/songs/60102852.mkv
美人谷,http://em.21dtv.com/songs/60147834.mkv
my life,http://em.21dtv.com/songs/60003998.mkv
牧野往事,http://em.21dtv.com/songs/60149047.mkv
你不在,http://em.21dtv.com/songs/60113042.mkv
女公子一路光明,http://em.21dtv.com/songs/60095961.mkv
你还要我怎样,http://em.21dtv.com/songs/60164384.mkv
那年幸福,http://em.21dtv.com/songs/60149048.mkv
女人,http://em.21dtv.com/songs/60032885.mkv
你是谁,http://em.21dtv.com/songs/60080076.mkv
你笑起来真是一场好天气,http://em.21dtv.com/songs/60167514.mkv
盼梦圆(无原唱),http://em.21dtv.com/songs/60033153.mkv
朋友雄起,http://em.21dtv.com/songs/60114189.mkv
亲爱的你还爱不爱我,http://em.21dtv.com/songs/60126345.mkv
千古,http://em.21dtv.com/songs/60113037.mkv
阡陌,http://em.21dtv.com/songs/60103648.mkv
前座,http://em.21dtv.com/songs/60034307.mkv
忍不住眼泪,http://em.21dtv.com/songs/60102851.mkv
如果我的回忆没有了你,http://em.21dtv.com/songs/60062217.mkv
燃烧吧三金,http://em.21dtv.com/songs/60150749.mkv
让世界听见,http://em.21dtv.com/songs/60104522.mkv
热血三国,http://em.21dtv.com/songs/60139202.mkv
师父,http://em.21dtv.com/songs/60150991.mkv
输了你赢了世界又如何,http://em.21dtv.com/songs/60086840.mkv
上师祈祷文,http://em.21dtv.com/songs/60129707.mkv
神山颂,http://em.21dtv.com/songs/60105453.mkv
三生石三生路,http://em.21dtv.com/songs/60102850.mkv
它,http://em.21dtv.com/songs/60162447.mkv
她不爱我了,http://em.21dtv.com/songs/60062216.mkv
屯堡人,http://em.21dtv.com/songs/60114187.mkv
天地问剑,http://em.21dtv.com/songs/60097146.mkv
桃花缘,http://em.21dtv.com/songs/60161694.mkv
天籁之爱,http://em.21dtv.com/songs/60126343.mkv
天亮之后,http://em.21dtv.com/songs/60145732.mkv
叹相思,http://em.21dtv.com/songs/60164735.mkv
为爱成魔,http://em.21dtv.com/songs/60101191.mkv
我的月光,http://em.21dtv.com/songs/60115470.mkv
万古哭城,http://em.21dtv.com/songs/60067503.mkv
我回来了,http://em.21dtv.com/songs/60065077.mkv
我们都是贵州人,http://em.21dtv.com/songs/60126355.mkv
为你而来,http://em.21dtv.com/songs/60113041.mkv
为情心碎夜凄美,http://em.21dtv.com/songs/60133026.mkv
我以为,http://em.21dtv.com/songs/60078395.mkv
无字的绝情批,http://em.21dtv.com/songs/60047601.mkv
我只想看看你就走,http://em.21dtv.com/songs/60088835.mkv
心花,http://em.21dtv.com/songs/60121049.mkv
昔日情怀,http://em.21dtv.com/songs/60145733.mkv
谢谢你的无情,http://em.21dtv.com/songs/60117315.mkv
小小愿望,http://em.21dtv.com/songs/60078735.mkv
心中的妈妈,http://em.21dtv.com/songs/60061774.mkv
星之守护者,http://em.21dtv.com/songs/60165266.mkv
一朵云,http://em.21dtv.com/songs/60126342.mkv
一个人的天空,http://em.21dtv.com/songs/60162448.mkv
夜光下的小妹妹,http://em.21dtv.com/songs/60114186.mkv
樱花的眼泪,http://em.21dtv.com/songs/60169101.mkv
浴火重生,http://em.21dtv.com/songs/60116326.mkv
又见枫叶红,http://em.21dtv.com/songs/60105459.mkv
云开,http://em.21dtv.com/songs/60056653.mkv
一梦千寻,http://em.21dtv.com/songs/60117308.mkv
又是三更念一个人,http://em.21dtv.com/songs/60114179.mkv
又是三更 念一个人,http://em.21dtv.com/songs/60113043.mkv
鸳鸯衣,http://em.21dtv.com/songs/60072762.mkv
雨中蝶,http://em.21dtv.com/songs/60067740.mkv
最爱的人伤我最深,http://em.21dtv.com/songs/60114188.mkv
真爱无双,http://em.21dtv.com/songs/60106365.mkv
再出发,http://em.21dtv.com/songs/60144087.mkv
注定,http://em.21dtv.com/songs/60059274.mkv
志高智能风FREESTYLE,http://em.21dtv.com/songs/60151679.mkv
征婚歌,http://em.21dtv.com/songs/60069004.mkv
走好兄弟,http://em.21dtv.com/songs/60114192.mkv
卓玛,http://em.21dtv.com/songs/60059594.mkv
转念,http://em.21dtv.com/songs/60156657.mkv
在那遥远的地方,http://em.21dtv.com/songs/60087100.mkv
醉清风,http://em.21dtv.com/songs/60065533.mkv
终于我明白,http://em.21dtv.com/songs/60149598.mkv

阿肆,#genre#
angle,http://em.21dtv.com/songs/60084692.mkv
爱情寄寓,http://em.21dtv.com/songs/60008265.mkv
宝贝别走,http://em.21dtv.com/songs/60074621.mkv
被动,http://em.21dtv.com/songs/60010291.mkv
错爱,http://em.21dtv.com/songs/60112337.mkv
晨曦的金色曙光,http://em.21dtv.com/songs/60087684.mkv
痴心绝对,http://em.21dtv.com/songs/60012766.mkv
渡口,http://em.21dtv.com/songs/60131926.mkv
当你孤单你会想起谁,http://em.21dtv.com/songs/60088843.mkv
当我再爱你的时候,http://em.21dtv.com/songs/60014632.mkv
浮光掠影,http://em.21dtv.com/songs/60085100.mkv
疯了,http://em.21dtv.com/songs/60017560.mkv
孤单北半球,http://em.21dtv.com/songs/60018828.mkv
get up,http://em.21dtv.com/songs/60084715.mkv
功夫,http://em.21dtv.com/songs/60018721.mkv
关于爱,http://em.21dtv.com/songs/60168524.mkv
回来吧,http://em.21dtv.com/songs/60022143.mkv
狐狸精,http://em.21dtv.com/songs/60101696.mkv
怀念勐遮的酸沙鳅,http://em.21dtv.com/songs/60124841.mkv
回忆彼坛酒,http://em.21dtv.com/songs/60106377.mkv
i believe,http://em.21dtv.com/songs/60002428.mkv
简单爱,http://em.21dtv.com/songs/60023248.mkv
即刻启程,http://em.21dtv.com/songs/60165291.mkv
寂寞在唱歌,http://em.21dtv.com/songs/60022949.mkv
江南,http://em.21dtv.com/songs/60023341.mkv
开车,http://em.21dtv.com/songs/60024980.mkv
恋夏,http://em.21dtv.com/songs/60131925.mkv
